Id,Order ID,Resolution,Affiliate,Reason,Amount,Transaction Date,Media Partner,Sale Amount,Submission Date,,,,,,,,,,,,,
176860,7025447029,,,,,2017-12-27T23:00:00-05:00,Myregistry LLC.,25.98,2018-01-19T17:16:28-05:00,,,,,,,,,,,,,
176861,7034086491,,,,,2017-12-29T23:00:00-05:00,Myregistry LLC.,11.99,2018-01-19T17:16:32-05:00,,,,,,,,,,,,,
177017,6935122525,,,,,2017-12-11T03:00:00-05:00,Ebates .,183.55,2018-01-20T13:46:18-05:00,,,,,,,,,,,,,
177021,7086879825,,,,,2018-01-14T19:00:00-05:00,CouponCabin,77.3,2018-01-20T14:11:06-05:00,,,,,,,,,,,,,
177377,221787468,,,,,2017-12-10T03:00:00-05:00,Clarus Commerce.,43.94,2018-01-22T13:31:52-05:00,,,,,,,,,,,,,
177546,6674481800_1,,,,,2017-10-25T18:00:00-04:00,"Cartera Commerce, Inc.",29.97,2018-01-22T14:45:48-05:00,,,,,,,,,,,,,
177550,6788830042_1,,,,,2017-11-18T17:00:00-05:00,"Cartera Commerce, Inc.",64.99,2018-01-22T14:46:01-05:00,,,,,,,,,,,,,
177552,823901133,,,,,2017-11-23T17:00:00-05:00,"Cartera Commerce, Inc.",34.99,2018-01-22T14:46:09-05:00,,,,,,,,,,,,,
177554,CND7HBYXNM,,,,,2017-11-15T17:00:00-05:00,"Cartera Commerce, Inc.",135,2018-01-22T14:46:14-05:00,,,,,,,,,,,,,
177687,6893128210,,,,,2017-04-11T18:00:00-04:00,"Cartera Commerce, Inc.",151.78,2018-01-22T14:53:16-05:00,,,,,,,,,,,,,
177688,6586962867,,,,,2017-04-10T18:00:00-04:00,"Cartera Commerce, Inc.",44.98,2018-01-22T14:53:28-05:00,,,,,,,,,,,,,
177689,6919544681,,,,,2017-08-11T18:00:00-04:00,"Cartera Commerce, Inc.",76.8,2018-01-22T14:53:37-05:00,,,,,,,,,,,,,
177690,6575400707_1,,,,,2017-11-11T17:00:00-05:00,"Cartera Commerce, Inc.",49.98,2018-01-22T14:53:45-05:00,,,,,,,,,,,,,
177691,6924101119,,,,,2017-09-11T18:00:00-04:00,"Cartera Commerce, Inc.",201.49,2018-01-22T14:53:51-05:00,,,,,,,,,,,,,
177692,6900108946,,,,,2017-05-11T18:00:00-04:00,"Cartera Commerce, Inc.",189.61,2018-01-22T14:53:57-05:00,,,,,,,,,,,,,
177693,6929708004,,,,,2017-10-11T18:00:00-04:00,"Cartera Commerce, Inc.",119.99,2018-01-22T14:54:03-05:00,,,,,,,,,,,,,
177694,6904179229,,,,,2017-06-11T18:00:00-04:00,"Cartera Commerce, Inc.",68.24,2018-01-22T14:54:14-05:00,,,,,,,,,,,,,
177695,6935991464,,,,,2017-11-11T17:00:00-05:00,"Cartera Commerce, Inc.",128.82,2018-01-22T14:54:20-05:00,,,,,,,,,,,,,
177696,CND7H8NYYT,,,,,2017-03-11T17:00:00-05:00,"Cartera Commerce, Inc.",50,2018-01-22T14:54:25-05:00,,,,,,,,,,,,,
178351,6845123176,,,,,2017-11-24T17:00:00-05:00,"Cartera Commerce, Inc.",30.26,2018-01-22T18:42:11-05:00,,,,,,,,,,,,,
178353,6808997508_1,,,,,2017-11-26T17:00:00-05:00,"Cartera Commerce, Inc.",29.99,2018-01-22T18:42:17-05:00,,,,,,,,,,,,,
178356,5.21E+11,,,,,2017-11-26T17:00:00-05:00,"Cartera Commerce, Inc.",29.98,2018-01-22T18:42:22-05:00,,,,,,,,,,,,,
178358,CND7HTJVC2,,,,,2017-11-18T17:00:00-05:00,"Cartera Commerce, Inc.",22.5,2018-01-22T18:42:29-05:00,,,,,,,,,,,,,
178359,6788159209,,,,,2017-11-18T17:00:00-05:00,"Cartera Commerce, Inc.",23.55,2018-01-22T18:42:33-05:00,,,,,,,,,,,,,
178360,6790902400,,,,,2017-11-17T17:00:00-05:00,"Cartera Commerce, Inc.",53.91,2018-01-22T18:42:39-05:00,,,,,,,,,,,,,
178361,6893128210,,,,,2017-11-18T17:00:00-05:00,"Cartera Commerce, Inc.",151.78,2018-01-22T18:42:45-05:00,,,,,,,,,,,,,
178363,6829678341,,,,,2017-12-03T17:00:00-05:00,"Cartera Commerce, Inc.",44.95,2018-01-22T18:42:52-05:00,,,,,,,,,,,,,
178365,6586962867,,,,,2017-11-24T17:00:00-05:00,"Cartera Commerce, Inc.",44.98,2018-01-22T18:42:58-05:00,,,,,,,,,,,,,
178366,6919544681,,,,,2017-12-17T17:00:00-05:00,"Cartera Commerce, Inc.",76.8,2018-01-22T18:43:05-05:00,,,,,,,,,,,,,
